city,latitude,longitude,temperature,time
Algiers,36.6875,3.125,27.8,2023-06-10T14:00
Annaba,36.875,7.75,24.1,2023-06-10T14:00
Biskra,34.875,5.75,38.3,2023-06-10T14:00
Tlemcen,34.875,-1.3125,24.2,2023-06-10T14:00
Adrar,27.9,-0.29999924,41.9,2023-06-10T14:00
Sétif,36.1875,5.375,23.6,2023-06-10T14:00
Oum El Bouaghi,35.875,7.125,26.2,2023-06-10T14:00
Timimoune,29.3,0.20000076,40.4,2023-06-10T14:00
Tébessa,35.4375,8.1875,25.3,2023-06-10T14:00
Batna,35.5625,6.25,24.6,2023-06-10T14:00
Béjaia,36.75,5.0625,24.4,2023-06-10T14:00
Tamanrasset,22.8,5.5,38.7,2023-06-10T14:00
Algiers,36.6875,3.125,22.0,2023-06-10T21:00
Annaba,36.875,7.75,22.5,2023-06-10T21:00
Biskra,34.875,5.75,33.8,2023-06-10T21:00
Tlemcen,34.875,-1.3125,18.6,2023-06-10T21:00
Adrar,27.9,-0.29999924,35.6,2023-06-10T21:00
Sétif,36.1875,5.375,17.9,2023-06-10T21:00
Oum El Bouaghi,35.875,7.125,19.0,2023-06-10T21:00
Timimoune,29.3,0.20000076,34.0,2023-06-10T21:00
Tébessa,35.4375,8.1875,19.6,2023-06-10T21:00
Batna,35.5625,6.25,18.8,2023-06-10T21:00
Béjaia,36.75,5.0625,20.9,2023-06-10T21:00
Tamanrasset,22.8,5.5,32.9,2023-06-10T21:00
